predictors,k,WAIC,CPO,DIC,Mlik,row
(intercept only),0,775.654289351369,387.83306979977027,768.8532452459058,-385.84259172699444,log marginal-likelihood (integration)
dist_km,1,519.6845961589318,261.54448123125445,510.0586563127952,-262.14250743649694,log marginal-likelihood (integration)1
poverty_index,1,769.6753007996111,385.02229297383553,756.0428749698849,-385.2430330086149,log marginal-likelihood (integration)2
may_bin,1,779.7704995271079,390.36159411603523,763.7951840035026,-388.0160558671872,log marginal-likelihood (integration)3
len_bin,1,707.0088235876169,353.538385133321,694.2106762171004,-353.37094885544224,log marginal-likelihood (integration)4
urban_pct,1,774.469470007956,387.7720623693319,759.4947406493761,-387.1061454617849,log marginal-likelihood (integration)5
wood_pct,1,756.269463850842,379.0165447702534,746.2623534659364,-380.90607352399206,log marginal-likelihood (integration)6
wood_bin,1,783.3863313049085,392.0319789931969,767.1628896360352,-389.94578436680297,log marginal-likelihood (integration)7
dist_km+poverty_index,2,494.77089821412915,248.34949699330144,487.3215850667253,-256.36009921255834,log marginal-likelihood (integration)8
dist_km+may_bin,2,497.8154656478414,250.3855266462603,487.50725648625536,-255.56139046100776,log marginal-likelihood (integration)9
dist_km+len_bin,2,509.3902573452541,256.6308248436853,496.78299295272353,-260.31121961677053,log marginal-likelihood (integration)10
dist_km+urban_pct,2,503.9650230366799,253.84540228976306,496.23365029939663,-261.1576448593437,log marginal-likelihood (integration)11
dist_km+wood_pct,2,505.3914956916815,257.8339566688706,498.60106719118266,-262.61625890300877,log marginal-likelihood (integration)12
dist_km+wood_bin,2,506.3631123101908,255.16513323308777,498.04017194990104,-260.98876621713487,log marginal-likelihood (integration)13
poverty_index+may_bin,2,779.1684759916985,391.1788510074516,752.5753565282216,-388.2194421116804,log marginal-likelihood (integration)14
poverty_index+len_bin,2,713.6188020005309,357.03550393124704,694.7866145090597,-359.41060593640094,log marginal-likelihood (integration)15
poverty_index+urban_pct,2,775.1453068734505,388.1581538067316,756.2609170263058,-391.08386137477095,log marginal-likelihood (integration)16
poverty_index+wood_pct,2,762.6745604415621,382.47012369758886,747.7804397463049,-387.1722541924591,log marginal-likelihood (integration)17
poverty_index+wood_bin,2,777.2938281867815,389.126504654169,757.8231725450993,-390.8575080309181,log marginal-likelihood (integration)18
may_bin+len_bin,2,717.2127566653992,359.1169623371469,695.6383981217074,-358.76957699122755,log marginal-likelihood (integration)19
may_bin+urban_pct,2,782.3909742495873,392.7852248326547,754.8734927674489,-389.4952266304881,log marginal-likelihood (integration)20
may_bin+wood_pct,2,769.683982117478,387.4018806910399,744.449382588629,-384.76400771988034,log marginal-likelihood (integration)21
may_bin+wood_bin,2,791.2002719315226,396.70950676662704,762.7154449162502,-392.4990654062697,log marginal-likelihood (integration)22
len_bin+urban_pct,2,719.0750557057678,360.1553228259567,696.1796707999894,-360.23762567974967,log marginal-likelihood (integration)23
len_bin+wood_pct,2,710.8779000684182,357.0946336739479,691.5555453585126,-358.31776978386523,log marginal-likelihood (integration)24
len_bin+wood_bin,2,716.8080984101817,358.82580541393236,695.9973366908305,-359.19939900741616,log marginal-likelihood (integration)25
urban_pct+wood_pct,2,762.5612345352666,382.17557625743257,747.10384184866,-386.7033765963917,log marginal-likelihood (integration)26
urban_pct+wood_bin,2,780.1413439262237,390.8011250412923,761.3589240634757,-392.70621765033434,log marginal-likelihood (integration)27
wood_pct+wood_bin,2,744.4133951034606,372.6187153354818,735.3933805462169,-379.7935410969498,log marginal-likelihood (integration)28
dist_km+poverty_index+may_bin,3,474.9907479500259,238.40620275058603,467.5963910025997,-251.2325784559684,log marginal-likelihood (integration)29
dist_km+poverty_index+len_bin,3,469.53454420802353,235.59398651312097,461.7996302046624,-248.3646091267265,log marginal-likelihood (integration)30
dist_km+poverty_index+urban_pct,3,495.5915978497912,249.20211818306035,486.9203300054167,-261.9297326174168,log marginal-likelihood (integration)31
dist_km+poverty_index+wood_pct,3,498.27541616094186,256.2467301360707,488.7808682767398,-263.0866815708084,log marginal-likelihood (integration)32
dist_km+poverty_index+wood_bin,3,497.5772454583134,250.38860766477433,488.35005636178033,-261.5296892342532,log marginal-likelihood (integration)33
dist_km+may_bin+len_bin,3,494.9512848303155,249.18283077072994,481.3761802524288,-257.27513842482324,log marginal-likelihood (integration)34
dist_km+may_bin+urban_pct,3,485.8744697106248,244.86520182832407,477.51800164072586,-256.512563257768,log marginal-likelihood (integration)35
dist_km+may_bin+wood_pct,3,483.28934036497066,245.0714788847121,476.37124196780735,-256.2395089093631,log marginal-likelihood (integration)36
dist_km+may_bin+wood_bin,3,484.3195213102634,243.7328144122061,475.6800612191166,-254.5222103492191,log marginal-likelihood (integration)37
dist_km+len_bin+urban_pct,3,483.0701502717098,242.85619624880337,474.5021630525502,-255.08957473513703,log marginal-likelihood (integration)38
